compa_ratio,compa_ratio_range,cost_center,country,current_rating,employee_id,ethnicity,gender,generation,high_performer,high_potential,hiring_source,is_leader,is_manager,job_family_group,job_level,job_profile,legal_full_name,length_of_service,location,management_level,manager_id,org_level_1,org_level_2,org_level_3,org_level_4,org_level_5,region,single_job_family,supervisory_org,tenure_category,total_compensation,age
1.545,Above Compa-Ratio,AMER - United States of America,United States of America,4 - Exceeds Expectations,1000,Asian,Female,Generation X (1965-1980),False,False,Referral,True,True,Executive,M9,Executive Management - Chief Executive Officer,Allison Hill,26.934,San Francisco,Chief Executive Officer,1000,Shareholders,,,,,AMER,Executive Management,Shareholders,15+ Years,772400,57.0
1.021,At Compa-Ratio,AMER - United States of America,United States of America,3 - Meets Expectations,1001,White,Male,Generation Z (1997 and onwards),False,True,Referral,False,False,Development,P2,IT - Product Development - P2 Business Analytics,Noah Rhodes,1.844,New York,Individual Contributor,5069,Shareholders,Board,Technology & IT,Technology,Quality Assurance,AMER,IT - Product Development,Quality Assurance,01-02 Years,68900,25.0
0.981,At Compa-Ratio,Global Support - Asia/Pac,South Korea,5 - Outstanding Performance,1002,Asian,Male,Generation Y/Millenials (1981-1996),True,False,Recruiter,False,False,Development,P3,IT - Product Development - P3 Data Scientist,Brandon Henderson,2.192,Seoul,Individual Contributor,1087,Shareholders,Board,Technology & IT,IT,Security,APAC,IT - Product Development,Security,02-05 Years,53200,33.0
1.342,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,1003,Asian,Male,Generation X (1965-1980),False,True,Linkedin,False,False,Executive,P5,Executive Management - Principal Operations Executive,Daniel Wagner,18.518,Toronto,Executive Vice President,1000,Shareholders,,,,,AMER,Executive Management,Shareholders,15+ Years,204600,45.0
1.29,Above Compa-Ratio,Global Support - Asia/Pac,South Korea,3 - Meets Expectations,1004,Asian,Female,Generation Y/Millenials (1981-1996),False,False,Internal,False,False,Finance,P3,FA - Accounting - P3 Accounting Settlement Specialist,Christina Santos,1.416,Seoul,Individual Contributor,4863,Shareholders,Board,Finance,Accounting,,APAC,FA - Accounting,Accounting,01-02 Years,70000,32.0
1.153,Above Compa-Ratio,EMEA - France,France,4 - Exceeds Expectations,1005,White,Female,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Sales,P3,Sales - Direct Sales - P3 Direct Sales Representative,Connie Lawrence,2.91,Paris,Individual Contributor,5529,Shareholders,Board,Sales,Account Executives,,EMEA,Sales - Direct Sales,Account Executives,02-05 Years,71500,29.0
0.858,Below Compa-Ratio,AMER - United States of America,United States of America,5 - Outstanding Performance,1006,American Indian or Alaska Native,Female,Generation Z (1997 and onwards),True,False,Referral,False,False,Development,P2,IT - Product Development - P2 Business Analytics,Abigail Shaffer,3.148,San Francisco,Individual Contributor,3326,Shareholders,Board,Technology & IT,Technology,Quality Assurance,AMER,IT - Product Development,Quality Assurance,02-05 Years,57900,26.0
0.965,At Compa-Ratio,Global Support - Asia/Pac,Singapore,3 - Meets Expectations,1007,Asian,Male,Generation Z (1997 and onwards),False,False,Referral,False,False,Sales,P2,Sales - Inside Sales - P2 Inside Sales Representative,Gerald Moore,1.852,Singapore,Individual Contributor,1024,Shareholders,Board,Sales,Customer Care,,APAC,Sales - Inside Sales,Customer Care,01-02 Years,45600,26.0
1.418,Above Compa-Ratio,EMEA - France,France,4 - Exceeds Expectations,1008,White,Male,Generation Y/Millenials (1981-1996),False,False,Corporate Website,False,False,Finance,P3,FA - Accounting - P3 Accounting Settlement Specialist,George Davis,0.712,Paris,Individual Contributor,1437,Shareholders,Board,Finance,Accounting,,EMEA,FA - Accounting,Accounting,00-01 Years,87900,31.0
1.241,Above Compa-Ratio,AMER - Canada,Canada,2 - Needs Improvement,1009,White,Male,Generation Y/Millenials (1981-1996),False,False,Referral,False,False,Services,P4,Legal - Corporate - Senior Legal Consultant,Ryan Munoz,0.148,Toronto,Individual Contributor,1992,Shareholders,Board,Legal,Compliance & Regulation,,AMER,Legal - Corporate,Compliance & Regulation,00-01 Years,136500,33.0
